#{"t_start": 1636050400.1448781, "env_id": null}
r,l,t
-22.213614,5000,39.119661
-16.419319,5000,68.684492
-14.208442,5000,114.750645
9952.39147,78,115.225498
-20.128759,5000,152.47072
-34.31226,5000,203.069677
-16.474714,5000,241.39225
-18.476948,5000,288.507612
-20.252686,5000,323.580216
-16.957064,5000,371.627171
-21.41339,5000,406.24913
-18.531023,5000,440.746254
-13.8644,5000,488.711993
-21.024331,5000,523.382324
-17.248831,5000,567.955322
-15.476181,5000,601.116276
-17.376612,5000,646.259742
-18.470545,5000,679.404428
-18.082685,5000,711.41826
-15.469464,5000,751.646119
-19.477593,5000,782.87935
-20.754043,5000,825.16327
-20.663301,5000,856.746674
-27.614978,5000,898.684731
-29.269434,5000,931.767299
-22.76721,5000,976.019496
-27.705579,5000,1009.287471
-17.81973,5000,1042.986684
